subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,54,29-64,35-62;36-59;28-58;34-64;25-62;28-56,36-59,3.41,95,7,827.6166293,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,55,36-59,33-66;45-56;36-69;41-57;32-61;45-57,32-61,7.24,92,-3,838.9491439999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,56,32-61,38-68;33-70;33-58;24-61;37-61;26-68,33-70,2.56,87,-5,845.5813349,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,57,33-70,37-69;40-68;39-62;34-69;38-62;36-66,34-69,1.78,88,1,851.4363994999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,58,34-69,42-66;29-70;25-69;41-63;29-63;25-70,29-70,2.49,84,-4,858.0093736,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,59,29-70,35-70;21-70;29-61;31-67;25-69;20-69,21-70,3.34,76,-8,865.4224828,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,60,21-70,22-64;11-70;19-70;25-68;22-61;23-62,19-70,2.41,73,-3,871.9175335000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,61,19-70,23-61;15-61;26-70;13-66;17-69;21-66,17-69,1.89,72,-1,877.8921927000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,62,17-69,10-62;19-63;21-69;17-66;22-67;15-67,19-63,0.95,78,6,882.9182909,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,63,19-63,13-62;25-67;17-66;19-63;26-59;21-58,26-59,2.87,87,9,889.8601037999999,1
