subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,23,selected,17-51,18-48;16-50;18-49;20-47;19-56;24-49,18-49,1.74,79,1,905.164125506
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,24,selected,18-49,20-44;15-56;23-43;12-44;15-46;24-50,15-56,3.24,74,-5,911.988343512
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,25,selected,15-56,22-59;12-52;10-52;16-55;20-58;21-58,21-58,3.09,81,7,918.649935645
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,26,selected,21-58,19-64;24-61;15-53;20-56;21-61;15-57,20-56,4.02,81,0,926.240950265
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,27,selected,20-56,23-58;14-57;17-50;25-52;23-50;15-56,23-50,3.45,85,4,933.261431063
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,28,selected,23-50,27-54;23-53;24-52;20-50;22-50;28-50,27-54,4.1,89,4,940.920014327
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,29,selected,27-54,27-50;29-61;25-51;21-53;33-55;25-53,25-53,3.48,87,-2,947.978986248
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,30,selected,25-53,18-50;26-49;30-51;26-51;26-54;28-57,30-51,3.36,91,4,954.923018075
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,31,selected,30-51,36-55;29-47;37-54;31-44;23-50;35-56,35-56,2.88,94,3,961.364145223
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,32,selected,35-56,34-63;31-50;35-57;32-51;40-61;29-54,34-63,4.18,91,-3,969.112821401
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,33,selected,34-63,36-65;29-67;28-59;39-63;29-60;35-67,35-67,2.47,89,-2,975.158608391
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,34,selected,35-67,32-64;31-63;40-62;39-69;34-64;36-64,32-64,2.42,89,0,981.145691379
