subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,10,16-7,12-16;19-3;21-10;9-7;13-12;13-10,7-Sep,4.79,30,-10,1648.582325,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,11,7-Sep,3-4;11-16;16-5;9-5;13-2;3-14,14-Mar,6.08,30,0,1658.7231470000004,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,12,14-Mar,1-6;10-21;7-6;7-14;5-11;4-12,6-Jul,2.71,25,-5,1665.4980369999996,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,13,6-Jul,1-14;15-12;2-4;12-5;13-10;7-5,15-12,4.6,47,22,1674.171749,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,14,15-12,10-12;11-18;18-16;20-5;9-6;11-11,18-16,3.98,57,10,1682.221141,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,15,18-16,24-22;17-19;20-11;16-20;10-10;17-11,17-11,4.4,48,-9,1690.697353,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,16,17-11,19-7;22-3;14-15;16-20;11-11;14-9,14-9,5.31,41,-7,1700.073157,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,17,14-9,12-13;7-13;10-17;16-5;18-18;18-17,17-Oct,1.86,47,6,1706.000966,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,18,17-Oct,3-24;6-26;11-21;11-24;14-26;6-15,21-Nov,2.2,53,6,1712.2906100000002,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,19,21-Nov,8-26;13-12;13-26;6-19;18-18;10-16,18-18,1.34,60,7,1717.683983,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,20,18-18,11-13;11-19;17-19;20-26;18-13;14-12,17-19,1.92,60,0,1723.678296,1
