subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,75,52-63,56-58;50-58;49-57;59-59;60-60;47-60,59-59,2.89,97,0,1168.1138310000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,76,59-59,60-59;61-67;68-59;55-65;54-62;60-56,61-67,1.94,92,-5,1174.115,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,77,61-67,62-69;61-59;68-61;59-63;65-69;70-65,59-63,4.18,96,4,1182.36651,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,78,59-63,63-66;67-61;56-61;63-70;58-55;55-68,56-61,5.51,97,1,1191.9445699999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,79,56-61,48-62;57-56;54-67;62-66;51-53;59-52,62-66,19.27,93,-4,1215.289978,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,0,0-0,5-7;6-0;1-6;9-3;4-0;6-8,8-Jun,18.33,27,26,1403.980893,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,1,8-Jun,14-14;15-8;11-5;11-11;12-14;5-8,14-14,9.55,49,22,1417.608135,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,2,14-14,19-19;8-9;9-17;18-19;22-17;10-6,19-19,3.94,62,13,1425.6115949999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,3,19-19,18-28;17-17;14-22;12-24;24-11;21-26,18-28,10.92,70,8,1440.59215,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,4,18-28,15-30;24-34;25-34;11-32;11-23;16-29,16-29,7.12,69,-1,1451.787292,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,5,16-29,13-31;15-30;9-26;13-37;7-26;20-23,15-30,3.86,68,-1,1459.729529,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,6,15-30,13-25;14-35;21-22;23-28;10-24;7-36,Jul-36,2.97,60,-8,1466.775078,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,7,Jul-36,1-40;14-30;7-33;9-32;16-35;4-29,Jan-40,3.16,50,-10,1474.001013,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,8,Jan-40,4-46;3-48;3-44;3-31;4-47;0-37,Mar-44,5.49,56,6,1483.562984,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,9,Mar-44,9-47;4-48;4-40;7-44;6-38;2-37,Jul-44,2.15,63,7,1489.773594,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,10,Jul-44,8-38;3-35;5-50;1-36;14-46;0-44,14-46,2.32,74,11,1496.159037,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,11,14-46,21-49;14-37;11-40;21-50;12-53;11-47,21-50,1.59,84,10,1501.79866,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,12,21-50,17-41;26-58;13-51;24-50;23-52;20-58,24-50,10.97,87,3,1516.8319789999998,1
