subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,29,42-67,51-69;44-58;43-67;51-66;43-65;35-65,51-66,4.94,95,2,1152.657618,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,30,51-66,58-69;60-62;43-67;56-68;47-59;53-62,56-68,1.9,93,-2,1158.611942,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,31,56-68,60-63;57-60;57-69;50-68;56-63;47-65,47-65,1.77,96,3,1164.440726,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,32,47-65,47-63;51-69;56-61;49-67;49-66;57-65,49-66,1.31,95,-1,1169.823201,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,33,49-66,42-62;54-70;43-68;43-64;57-69;41-64,54-70,2.57,92,-3,1176.441987,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,34,54-70,54-64;60-67;60-65;56-66;48-69;50-64,48-69,2.29,93,1,1182.807362,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,35,48-69,57-68;48-62;43-66;43-68;47-66;57-65,43-66,2.2,94,1,1189.073346,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,36,43-66,35-61;43-60;44-66;42-59;49-66;38-69,38-69,3.76,90,-4,1196.898777,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,37,38-69,43-66;45-68;32-64;44-65;33-69;32-68,44-65,2.64,95,5,1203.63008,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,38,44-65,49-66;44-55;39-58;48-60;46-57;49-70,48-60,2.21,98,3,1209.919966,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,39,48-60,46-58;54-65;46-52;57-59;48-50;47-51,54-65,2.69,96,-2,1216.675999,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,40,54-65,54-69;59-60;56-61;55-62;62-62;50-69,62-62,5.11,95,-1,1225.845161,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,41,62-62,53-64;59-58;63-55;53-62;56-67;57-63,53-64,2.53,96,1,1232.453479,1
